thcbr,thcno,THCName,TOTDKT,actuwt,ContractRS,vehno,thcdt,routename,outacm,coming_from,actdept_dt,actdept_tm,depdate_prevbr,deptime_prevbr,DTDep,stat,FreeSpace,lastlocation,DaysFromStart
BMS,BMS_/THC/0000322,BMS : Bommasandra Branch,7.00,968.0,0,KA05B9174,26 May 2006,BMS-BLR-YPR,0,BLR,5/25/2006 12:00:00 AM,12:00,5/25/2006,07:00,25 May 2006-07:00,Departed,0,BLR,414
MYS,MYS_/THC/0000186,MYS : Mysore Branch,7.00,4937.0,0,KA03 4079,26 Oct 2006,MYS-BLR-YPR,0,BLR,10/27/2006 12:00:00 AM,11:35,10/26/2006,01:22,26 Oct 2006-01:22,Departed,0,BLR,261
MYS,MYS_/THC/0700028,MYS : Mysore Branch,1.00,23.0,0,KA01B0904,27 Jun 2007, MYS-YPR-BLR,,,6/27/2007 12:00:00 AM,15:00,6/21/2007,19:18,21 Jun 2007-19:18,Yet to Arrive,,,17
BMS,BMS_/THC/0700483,BMS : Bommasandra Branch,1.00,68.0,0,KA05C9169,27 Jun 2007, BMS-BLR-YPR,,,6/20/2007 12:00:00 AM,12:30,,,,Yet to Arrive,,,17
BMS,BMS_/THC/0700488,BMS : Bommasandra Branch,1.00,68.0,0,KA01B0689,27 Jun 2007, BMS-BLR,,,6/26/2007 12:00:00 AM,2:16,,,,Yet to Arrive,,,17
MYS,MYS_/THC/0000151,MYS : Mysore Branch,7.00,5805.0,0,KA114784,27 Sep 2006,MYS-BLR-YPR,0,BLR,9/28/2006 12:00:00 AM,04:30,9/23/2006,23:55,23 Sep 2006-23:55,Departed,0,BLR,290
MYS,MYS_/THC/0000153,MYS : Mysore Branch,8.00,4139.0,0,KA01B0904,27 Sep 2006,MYS-BLR-YPR,0,BLR,9/27/2006 12:00:00 AM,04:30,9/25/2006,23:50,25 Sep 2006-23:50,Departed,0,BLR,290
CJB,CJB_/THC/0001084,CJB : Coimbatore branch,2.00,128.0,0,TN37AL4389,28 Jul 2006,CJB-BLR-YPR,0,BLR,8/18/2006 12:00:00 AM,10:15,7/27/2006,23:30,27 Jul 2006-23:30,Departed,0,BLR,351
BMS,BMS_/THC/0700498,BMS : Bommasandra Branch,1.00,20.0,0,KA05B9174,28 Jun 2007, BMS-BLR,,,6/27/2007 12:00:00 AM,00:28,,,,Yet to Arrive,,,16
BMS,BMS_/THC/0700502,BMS : Bommasandra Branch,1.00,68.0,0,KA01B689,28 Jun 2007, BMS-BLR,,,6/28/2007 12:00:00 AM,05:45,,,,Yet to Arrive,,,16
MYS,MYS_/THC/0700031,MYS : Mysore Branch,4.00,1450.0,0,KA01B0904,28 Jun 2007, MYS-YPR-BLR,,,7/2/2007 12:00:00 AM,19:15,6/27/2007,22:00,27 Jun 2007-22:00,Yet to Arrive,,,16
BMS,BMS_/THC/0000923,BMS : Bommasandra Branch,40.00,3788.0,0,KA02B2075,29 Aug 2006,BMS-BLR-YPR,0,BLR,8/29/2006 12:00:00 AM,17:00,8/29/2006,13:55,29 Aug 2006-13:55,Departed,0,BLR,319
MYS,MYS_/THC/0000065,MYS : Mysore Branch,5.00,625.0,0,KA01B0904,29 Jun 2006,MYS-BLR-YPR,0,BLR,6/30/2006 12:00:00 AM,8:30,6/27/2006,20:51,27 Jun 2006-20:51,Departed,0,BLR,380
MYS,MYS_/THC/0000066,MYS : Mysore Branch,8.00,1844.0,0,KA01B0904,29 Jun 2006,MYS-BLR-YPR,0,BLR,6/30/2006 12:00:00 AM,12:00,6/29/2006,16:47,29 Jun 2006-16:47,Departed,0,BLR,380
CJB,CJB_/THC/0700540,CJB : Coimbatore branch,1.00,5.0,4255,TN38AK5470,29 Jun 2007, CJB-BLR,,,6/28/2007 12:00:00 AM,08:45,,,,Yet to Arrive,,,15
CJB,CJB_/THC/0002314,CJB : Coimbatore branch,42.00,3105.0,0,TN30J8167,29 Nov 2006,CJB-BLR-YPR,0,BLR,11/30/2006 12:00:00 AM,14:20,11/29/2006,01:15,29 Nov 2006-01:15,Departed,0,BLR,227
MYS,MYS_/THC/0000158,MYS : Mysore Branch,4.00,3337.0,0,KA01B0904,29 Sep 2006,MYS-BLR-YPR,0,BLR,9/29/2006 12:00:00 AM,04:00,9/29/2006,00:05,29 Sep 2006-00:05,Departed,0,BLR,288
CJB,CJB_/THC/0001356,CJB : Coimbatore branch,1.00,9.0,0,AIR THC,30 Aug 2006,CJB-BLR-PNQ,0,BLR,8/30/2006 12:00:00 AM,11:40,8/29/2006,15:50,29 Aug 2006-15:50,Departed,0,BLR,318
MYS,MYS_/THC/0000067,MYS : Mysore Branch,5.00,947.0,0,KA01B0904,30 Jun 2006,MYS-BLR-YPR,0,BLR,6/30/2006 12:00:00 AM,8:30,6/28/2006,22:02,28 Jun 2006-22:02,Departed,0,BLR,379
CJB,CJB_/THC/0700554,CJB : Coimbatore branch,2.00,36.0,4100,KA17 9597,30 Jun 2007, CJB-BLR,,,6/29/2007 12:00:00 AM,20:30,,,,Yet to Arrive,,,14
CJB,CJB_/THC/0002333,CJB : Coimbatore branch,37.00,4823.0,0,TN37AC8192,30 Nov 2006,CJB-BLR-YPR,0,BLR,12/6/2006 12:00:00 AM,14:30,11/29/2006,01:00,29 Nov 2006-01:00,Departed,0,BLR,226
MYS,MYS_/THC/0000159,MYS : Mysore Branch,5.00,3955.0,0,KA01B0904,30 Sep 2006,MYS-BLR-YPR,0,BLR,10/3/2006 12:00:00 AM,11:14,9/30/2006,00:30,30 Sep 2006-00:30,Departed,0,BLR,287
